,precision,recall,f1-score,support
0,0.820614285524586,0.9708576186511241,0.8894358088658607,190959.0
1,0.48581724106070406,0.1148411051654472,0.18576879592990392,45785.0
accuracy,0.8053086878653736,0.8053086878653736,0.8053086878653736,0.8053086878653736
macro avg,0.6532157632926451,0.5428493619082856,0.5376023023978823,236744.0
weighted avg,0.7558663608431629,0.8053086878653736,0.753350441603025,236744.0
