,precision,recall,f1-score,support
0,0.999994763301215,1.0,0.9999973816437517,190959.0
1,1.0,0.9999781587856285,0.9999890792735533,45785.0
accuracy,0.9999957760281147,0.9999957760281147,0.9999957760281147,0.9999957760281147
macro avg,0.9999973816506075,0.9999890793928142,0.9999932304586525,236744.0
weighted avg,0.9999957760502345,0.9999957760281147,0.9999957760105802,236744.0
