,precision,recall,f1-score,support
0,0.8452454854580326,0.9554564068726795,0.8969782482049669,190959.0
1,0.5927415493632098,0.2703942339194059,0.371375860569063,45785.0
accuracy,0.8229691143175751,0.8229691143175751,0.8229691143175751,0.8229691143175751
macro avg,0.7189935174106212,0.6129253203960427,0.6341770543870149,236744.0
weighted avg,0.7964125996653558,0.8229691143175751,0.7953296095154546,236744.0
