,precision,recall,f1-score,support
0,0.829733877637672,0.982420310118926,0.8996446537412063,190959.0
1,0.6846406763738845,0.15917877033963088,0.2583023214602162,45785.0
accuracy,0.823209880715034,0.823209880715034,0.823209880715034,0.823209880715034
macro avg,0.7571872770057783,0.5707995402292785,0.5789734876007112,236744.0
weighted avg,0.8016736428698954,0.823209880715034,0.7756125402199125,236744.0
